PUBCHEM_CID,AID,PUBCHEM_SID,PUBCHEM_ACTIVITY_SCORE,PubChem Standard Value,MolecularWeight,Standard Value,IC50 (mm),Selectivity,Inhibition (%),Ki (mm),Kd (mm),Activity (%),Standard Units,Activity Comment,Data Validity Comment,pKd_min,pKd_max,pIC50_min,pIC50_max,Type,Action,Reference (PubMed ID),IC50,Enzyme Activity [1],Enzyme Activity [2],Average Enzyme Activity,Panel ID,Panel Target,%Inhibition,High Concentration (5 x IC50),Low Concentration (IC50 / 2),Qualifier,% Degradation,Kd Qualifier,Kd,qualifier,pKi,Activity Qualifier,EC50 Qualifier,EC50
2776,1795646,8034229.0,,0.37799999999999995,381.2,,0.37799999999999995,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,378.0,,,,,,,,,,,,,,,,,
4708,1795646,8034230.0,,0.114,369.2,,0.114,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,114.0,,,,,,,,,,,,,,,,,
5279,1798359,225157243.0,,0.063,466.5,,0.063,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,
123631,1795774,8035066.0,,0.24,446.9,,0.24,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,240.0,,,,,,,,,,,,,,,,,
176870,1795774,8035065.0,,0.76,393.4,,0.76,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,760.0,,,,,,,,,,,,,,,,,
208908,1795774,8035064.0,,0.009000000000000001,581.1,,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,
216239,1919057,46516901.0,,0.00056,464.8,,0.00056,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,
5328954,1795646,8034231.0,,0.013999999999999999,424.3,,0.013999999999999999,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,
5328955,1795646,8034232.0,,0.038,452.3,,0.038,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,
5328956,1795646,8034233.0,,0.177,480.4,,0.177,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,177.0,,,,,,,,,,,,,,,,,
5328957,1795646,8034234.0,,0.113,452.3,,0.113,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,113.0,,,,,,,,,,,,,,,,,
