PUBCHEM_CID,AID,PUBCHEM_SID,PUBCHEM_ACTIVITY_SCORE,PubChem Standard Value,MolecularWeight,Standard Value,IC50 (mm),Selectivity,Inhibition (%),Ki (mm),Kd (mm),Activity (%),Standard Units,Activity Comment,Data Validity Comment,pKd_min,pKd_max,pIC50_min,pIC50_max,Type,Action,Reference (PubMed ID),IC50,Enzyme Activity [1],Enzyme Activity [2],Average Enzyme Activity,Panel ID,%Inhibition,High Concentration (5 x IC50),Low Concentration (IC50 / 2),Qualifier,% Degradation,Kd Qualifier,Kd,pKi,Activity Qualifier,EC50 Qualifier,EC50
5328980,1795646,8034257,,15.624,449.3,,15.624,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,15624.0,,,,,,,,,,,,,,,
5328981,1795646,8034258,,15.238,383.2,,15.238,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,15238.0,,,,,,,,,,,,,,,
5328982,1795646,8034259,,91.325,383.2,,91.325,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,91325.0,,,,,,,,,,,,,,,
5328986,1795646,8034263,,25.71,412.3,,25.71,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,25710.0,,,,,,,,,,,,,,,
5328988,1795646,8034265,,21.656999999999996,383.2,,21.656999999999996,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,21657.0,,,,,,,,,,,,,,,
10005056,1797499,386053048,,10.5,473.4,,10.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,10500.0,,,,,,,,,,,,,,,
10253661,1797499,386053049,,10.5,459.4,,10.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,10500.0,,,,,,,,,,,,,,,
10347695,1797499,386053056,,10.5,557.2,,10.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,10500.0,,,,,,,,,,,,,,,
10369818,1797499,386053007,,10.5,533.5,,10.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,10500.0,,,,,,,,,,,,,,,
10390394,1797499,386053058,,10.5,479.9,,10.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,10500.0,,,,,,,,,,,,,,,
10393395,1797499,386053016,,10.5,577.9,,10.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,10500.0,,,,,,,,,,,,,,,
10412767,1797499,386053055,,10.5,478.3,,10.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,10500.0,,,,,,,,,,,,,,,
10436695,1797499,386053044,,10.5,520.4,,10.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,10500.0,,,,,,,,,,,,,,,
11223683,1804579,104050876,,58.0,412.7,,58.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,58000.0,,,,,,,,,,,,,,,
11281786,1804579,104050874,,58.3,428.3,,58.3,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,58300.0,,,,,,,,,,,,,,,
11302426,1804579,440826829,,47.8,346.6,,47.8,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,47800.0,,,,,,,,,,,,,,,
11568559,1804579,104065406,,50.0,448.3,,50.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50000.0,,,,,,,,,,,,,,,
11598450,1804579,104065405,,50.0,495.3,,50.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50000.0,,,,,,,,,,,,,,,
