AID,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,AID_type,PUBCHEM_ACTIVITY_SCORE,activity_added,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,IC50 (mm),Selectivity,Inhibition (%),Ki (mm),Kd (mm),Activity (%),Standard Value,Standard Units,Activity Comment,Data Validity Comment,pKd_min,pKd_max,pIC50_min,pIC50_max,Type,Action,Reference (PubMed ID),IC50,Target Accession(s),Ligand,Target,IC50 Qualifier,Enzyme Activity [1],Enzyme Activity [2],Average Enzyme Activity,Panel ID,Panel Name,Panel Target,%Inhibition,High Concentration (5 x IC50),Low Concentration (IC50 / 2),Qualifier,% Degradation,Kd Qualifier,Kd,qualifier,pKi,Activity Qualifier,EC50 Qualifier,EC50,target_name
625186,103188875,2157,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,9.148,IC50,=,9.148,0,0,0,0,0,9148,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
625186,103206701,2406,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,2.147,IC50,=,2.147,0,0,0,0,0,2147,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
625186,103271913,2541,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,5.9472,IC50,=,5.9472,0,0,0,0,0,5947.2,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
69714,103303045,2776,Active,confirmatory,<= 10uM is active,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.378,IC50,=,0.378,0,0,0,0,0,378,nM,,,,,,,,,,,,,ErbB-2,,,,,,,,,,,,,,,,,,,,erbB-2
260896,103303045,2776,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.017,IC50,=,0.017,0,0,0,0,0,17,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
1795646,8034229,2776,Active,confirmatory,,"Compounds with any of Ki, IC50, Kd, or EC50 activity value <= 10uM are labeled as ""Active"".",,0.378,IC50,,0.378,0,0,0,0,0,,,,,,,,,,,,378,P04626,BDBM4566,Receptor tyrosine-protein kinase erbB-2,,,,,,,,,,,,,,,,,,,,
625186,103266539,3191,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,1.0575,IC50,=,1.0575,0,0,0,0,0,1057.5,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
625186,103171247,3598,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,3.3188,IC50,=,3.3188,0,0,0,0,0,3318.8,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
625186,103293005,3728,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,8.577,IC50,=,8.577,0,0,0,0,0,8577,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
625186,103167833,4212,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,2.0352,IC50,=,2.0352,0,0,0,0,0,2035.2,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
69874,103200288,4705,Active,confirmatory,<= 10uM is active,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.07,IC50,=,0.07,0,0,0,0,0,70,nM,,,,,,,,,,,,,EGFR/ErbB-2,,,,,,,,,,,,,,,,,,,,check
1394744,103200288,4705,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,5.4,IC50,=,5.4,0,0,0,0,0,5400,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
68096,103202674,4708,Active,confirmatory,<= 10uM is active,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.0057,IC50,=,0.0057,0,0,0,0,0,5.7,nM,,,,,,,,,,,,,ErbB-2,,,,,,,,,,,,,,,,,,,,erbB-2
68098,103202674,4708,Active,confirmatory,<= 10uM is active,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.0057,IC50,=,0.0057,0,0,0,0,0,5.7,nM,,,,,,,,,,,,,ErbB-2,,,,,,,,,,,,,,,,,,,,erbB-2
69714,103202674,4708,Active,confirmatory,<= 10uM is active,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.114,IC50,=,0.114,0,0,0,0,0,114,nM,,,,,,,,,,,,,ErbB-2,,,,,,,,,,,,,,,,,,,,erbB-2
392130,103202674,4708,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.024,IC50,=,0.024,0,0,0,0,0,24,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
1795646,8034230,4708,Active,confirmatory,,"Compounds with any of Ki, IC50, Kd, or EC50 activity value <= 10uM are labeled as ""Active"".",,0.114,IC50,,0.114,0,0,0,0,0,,,,,,,,,,,,114,P04626,BDBM4567,Receptor tyrosine-protein kinase erbB-2,,,,,,,,,,,,,,,,,,,,
1798359,225157243,5279,Active,confirmatory,,"Compounds with any of Ki, IC50, Kd, or EC50 activity value <= 10uM are labeled as ""Active"".",,0.063,IC50,,0.063,0,0,0,0,0,,,,,,,,,,,,63,P04626,BDBM130909,Receptor tyrosine-protein kinase erbB-2,,,,,,,,,,,,,,,,,,,,
625186,103507191,8478,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,2.084,IC50,=,2.084,0,0,0,0,0,2084,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
625186,103345443,8816,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,1.878,IC50,=,1.878,0,0,0,0,0,1878,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
625186,103188801,14868,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,5.97,IC50,=,5.97,0,0,0,0,0,5970,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
625186,123097261,31703,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,2.485,IC50,=,2.485,0,0,0,0,0,2485,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
625186,103173154,42574,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,2.468,IC50,=,2.468,0,0,0,0,0,2468,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
624804,123092436,44259,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.19,Kd,=,0,0,0,0,0.19,0,190,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
1308958,123092436,44259,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.115,IC50,=,0.115,0,0,0,0,0,115,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
1404961,123092436,44259,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.0608,IC50,=,0.0608,0,0,0,0,0,60.8,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
1426965,123092436,44259,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.034,IC50,=,0.034,0,0,0,0,0,34,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
1531683,123092436,44259,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.108,IC50,=,0.108,0,0,0,0,0,108,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
1664189,123092436,44259,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.104,IC50,=,0.104,0,0,0,0,0,104,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
1664197,123092436,44259,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.131,IC50,=,0.131,0,0,0,0,0,131,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
1715358,123092436,44259,Active,confirmatory,,Compounds with activity <= 10uM or explicitly reported as active by ChEMBL are flagged as active in this PubChem assay presentation.,,0.0276,IC50,=,0.0276,0,0,0,0,0,27.6,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erbB-2
