AID,Unspecified_Count
1433,1
3366,1
40021,1
51584,5
68095,18
68098,2
68099,2
68101,12
68102,3
68103,5
68105,2
69714,5
69716,9
69717,9
69874,17
79614,2
81560,7
81567,2
81574,52
81575,6
81579,1
81581,2
81583,1
81584,3
81723,1
81724,1
87018,1
91107,3
105058,4
164334,7
164335,23
164338,1
164339,1
164340,1
218938,4
227709,6
235147,1
235148,9
235920,1
240497,3
240635,3
240906,1
242383,3
244158,2
248902,7
248914,3
254695,1
254920,1
254975,1
256709,1
258045,2
259431,3
260443,23
260444,23
260896,1
262079,27
263614,1
263981,1
266066,4
266093,6
266440,3
266924,1
267202,1
273804,1
281191,3
290549,10
290551,32
295195,1
298750,2
299191,45
304938,2
305799,10
306289,2
306294,1
307492,15
308241,16
308515,11
310411,1
313403,6
314705,1
325576,2
328043,3
331436,3
331537,1
332101,4
341708,1
341717,1
341718,1
341719,1
341721,1
347287,1
349121,1
350695,1
358468,1
364803,5
371171,2
371616,1
372683,1
388111,1
388112,1
388115,1
390052,16
390483,1
390491,1
390494,1
392552,30
393230,1
397044,3
401056,4
404519,6
405906,10
406970,4
410050,1
417897,26
418589,13
423604,4
430636,1
435512,1
435796,30
436057,1
437900,1
439276,1
439279,1
439280,1
439281,1
439284,1
439473,1
440202,1
440203,1
440204,1
440618,2
441964,1
444992,1
445189,1
450369,3
450767,3
451019,3
451417,1
451507,1
451597,1
453331,2
454329,11
455910,1
456091,12
456100,19
457037,1
458722,4
460690,12
461252,2
463709,3
467375,2
469697,1
470892,2
472048,2
474114,1
474117,1
484565,1
485510,10
485513,10
485514,10
485515,10
485602,10
485616,10
486358,1
486359,1
488716,22
490683,2
490686,2
490687,2
490688,2
490692,2
490708,2
491925,1
492321,10
500006,2
503767,1
507198,1
507532,7
507754,1
507932,7
511825,1
512414,1
514046,3
515895,1
517324,1
517501,1
526050,1
537798,1
549932,1
553107,2
580189,6
592966,1
597116,1
598164,1
598165,1
598840,1
601845,1
603819,2
608488,1
612123,1
613155,17
615008,1
616950,2
620240,21
623493,1
624804,55
625186,1662
629932,1
634137,29
636385,3
637117,1
637258,1
637320,1
637639,2
638917,9
640259,4
643943,1
643944,1
648952,1
649306,8
649362,1
650683,1
651424,369
651425,369
655489,1
662509,4
664737,1
664739,1
666200,1
666201,1
678111,1
678510,1
682901,1
691105,1
695968,1
697298,1
710534,15
711546,5
714328,1
714344,1
714348,1
714349,1
714545,1
714548,1
718822,2
719075,1
722487,1
723354,21
725963,31
725964,1
729978,2
731105,1
731218,3
732197,1
734771,1
737502,2
738835,1
739427,1
739428,1
739429,1
739690,1
739777,1
741052,1
743669,1
749393,5
749648,2
