baid,acvalue,aid,sid,cid,geneid,pmid,aidtype,aidmdate,hasdrc,rnai,activity,protacxn,acname,acqualifier,aidsrcname,aidname,cmpdname,targetname,targeturl,ecs,repacxn,taxid,cellids,targettaxid,anatomyid,anatomy
 380807293,6e-05,1916785,103245522,5291,2064,35696863,Confirmatory,20230629,0,0,Active,P04626,IC50,=,ChEMBL,Inhibition of HER2 (unknown origin) incubated for 1 hr in presence of ATP by Kinase-Glo Plus luminescence kinase assay,Imatinib,ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
402103286,6e-05,1796167,381752969,132143189,2064,"",Confirmatory,20240109,0,0,Active,P04626,IC50,"",BindingDB,SKBR3 Cell Viability Assay for Antibody-Polymer-Drug Conjugates from US Patent US10143695: 'Pyrrolobenzodiazepines and conjugates thereof',"4-[4-[[(12aS)-8-methoxy-6-oxo-12a,13-dihydroindolo[2,1-c][1,4]benzodiazepin-9-yl]oxy]butanoylamino]-N-[5-[[5-(5-aminoindole-1-carbonyl)-1-methylpyrrol-3-yl]carbamoyl]-1-methylpyrrol-3-yl]-1-methylimidazole-2-carboxamide",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
402103126,9e-05,1796167,381752970,132143289,2064,"",Confirmatory,20240109,0,0,Active,P04626,IC50,"",BindingDB,SKBR3 Cell Viability Assay for Antibody-Polymer-Drug Conjugates from US Patent US10143695: 'Pyrrolobenzodiazepines and conjugates thereof',"4-[4-[[(6aS)-2-methoxy-8-methylidene-11-oxo-7,9-dihydro-6aH-pyrrolo[2,1-c][1,4]benzodiazepin-3-yl]oxy]butanoylamino]-N-[5-[[5-(5-aminoindazole-1-carbonyl)-1-methylpyrrol-3-yl]carbamoyl]-1-methylpyrrol-3-yl]-1-methylimidazole-2-carboxamide",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
155742004,0.0001,473322,103177459,176870,2064,20222733,Confirmatory,20220830,0,0,Active,P04626,IC50,=,ChEMBL,Inhibition of EGFR Leu858Arg mutant by HTRF assay,Erlotinib,ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
354629292,0.0001,1274048,103177459,176870,2064,26639762,Confirmatory,20220830,0,0,Active,P04626,Ki,=,ChEMBL,Inhibition of EGFR deletion (746 to 750 residues) mutant (unknown origin),Erlotinib,ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
380807292,0.00014,1916785,482089589,168298900,2064,35696863,Confirmatory,20230629,0,0,Active,P04626,IC50,=,ChEMBL,Inhibition of HER2 (unknown origin) incubated for 1 hr in presence of ATP by Kinase-Glo Plus luminescence kinase assay,"N-(3-cyano-4,5,6,7-tetrahydro-1-benzothiophen-2-yl)-2-(1H-pyrazolo[3,4-b]pyridin-3-ylamino)acetamide",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
402103282,0.00014,1796167,381752956,132143236,2064,"",Confirmatory,20240109,0,0,Active,P04626,IC50,"",BindingDB,SKBR3 Cell Viability Assay for Antibody-Polymer-Drug Conjugates from US Patent US10143695: 'Pyrrolobenzodiazepines and conjugates thereof',"methyl 1-[4-[[4-[[4-[4-[[(6aS)-2-methoxy-8-methylidene-11-oxo-7,9-dihydro-6aH-pyrrolo[2,1-c][1,4]benzodiazepin-3-yl]oxy]butanoylamino]-1-methylimidazole-2-carbonyl]amino]-1-methylpyrrole-2-carbonyl]amino]-1-methylpyrrole-2-carbonyl]indole-5-carboxylate",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
402103132,0.00015,1796167,381752955,132162946,2064,"",Confirmatory,20240109,0,0,Active,P04626,IC50,"",BindingDB,SKBR3 Cell Viability Assay for Antibody-Polymer-Drug Conjugates from US Patent US10143695: 'Pyrrolobenzodiazepines and conjugates thereof',"4-[4-[[(6aS)-2-methoxy-8-methylidene-11-oxo-7,9-dihydro-6aH-pyrrolo[2,1-c][1,4]benzodiazepin-3-yl]oxy]butanoylamino]-N-[5-[[5-(5-methoxyindole-1-carbonyl)-1-methylpyrrol-3-yl]carbamoyl]-1-methylpyrrol-3-yl]-1-methylimidazole-2-carboxamide",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
402103136,0.00015,1796167,381752949,132143267,2064,"",Confirmatory,20240109,0,0,Active,P04626,IC50,"",BindingDB,SKBR3 Cell Viability Assay for Antibody-Polymer-Drug Conjugates from US Patent US10143695: 'Pyrrolobenzodiazepines and conjugates thereof',"4-[4-[[(6aS)-2-methoxy-8-methylidene-11-oxo-7,9-dihydro-6aH-pyrrolo[2,1-c][1,4]benzodiazepin-3-yl]oxy]butanoylamino]-N-[5-[[5-(5-aminoindole-1-carbonyl)-1-methylpyrrol-3-yl]carbamoyl]-1-methylpyrrol-3-yl]-1-methylimidazole-2-carboxamide",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
380767874,0.00016,1905774,482056461,168275910,2064,35319895,Confirmatory,20230629,0,0,Active,P04626,IC50,=,ChEMBL,Inhibition of HER2 V777L mutant (unknown origin) incubated for 120 mins in presence of 33P-ATP by P81 ion exchange cellulose chromatography,"(Z)-N-[7-ethoxy-4-[3-methyl-4-([1,2,4]triazolo[4,3-c]pyrimidin-7-yloxy)anilino]quinazolin-6-yl]-2-fluoro-3-[(2R)-1-methylpyrrolidin-2-yl]prop-2-enamide",ERBB2 - erb-b2 receptor tyrosine kinase 2 (human),/gene/2064,2.7.10.1,P04626,9606,"","","",""
